timestamp,acc_X (m/s^2),acc_X (m/s^2).1,acc_X (m/s^2).2,bar_X (hPa),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),lin_acc_X (m/s^2),prox_Distance (cm),mag_X (µT),mag_Y (µT),mag_Z (µT),loc_Latitude (°),loc_Longitude (°),loc_Height (m),loc_Velocity (m/s),loc_Direction (°),loc_Horizontal Accuracy (m),loc_Vertical Accuracy (°)
2023-06-09 09:06:09.999236959,-0.9353143018008575,-0.9353143018008575,-0.9353143018008575,,-0.5284673840077833,0.027813327115358,0.09037912834441414,-0.09640671891659656,,-4.134469280086821,-18.914954285073616,-16.482164800483435,,,,,,,
2023-06-09 09:06:10.499236959,-0.887844275808229,-0.887844275808229,-0.887844275808229,,-0.6102653880605644,0.1550380708180215,0.08730610886201534,-0.09885520933258118,,-4.0312624460021445,-13.990475933720994,-17.452752127641347,,,,,,,
2023-06-09 09:06:10.999236959,-1.0296354349073433,-1.0296354349073433,-1.0296354349073433,,-0.6709616512299019,0.24276112886686713,0.015480792314218117,-0.1495219678683039,,-3.0707805542656823,-6.564469476960472,-18.669174672747392,,,,,,,
2023-06-09 09:06:11.499236959,-0.8894275712759523,-0.8894275712759523,-0.8894275712759523,,-0.5528903375324699,0.13901954525659957,-0.1301898039075372,-0.028941915621377205,,-2.369524742549989,0.4682560020204001,-18.825459585668177,,,,,,,
2023-06-09 09:06:11.999236959,-0.15105501208415628,-0.15105501208415628,-0.15105501208415628,,-0.38591092343074457,0.08568904376465786,-0.2514049013424263,-0.021205188361858043,,-4.8242108994692945,6.119946393961321,-19.193568800375783,,,,,,,
2023-06-09 09:06:12.499236959,0.7146812796252238,0.7146812796252238,0.7146812796252238,,-0.2282294611444538,0.08320933336391811,-0.16419092432815813,-0.014147723358724693,,-7.814863664745127,9.662590287618372,-20.181086774980965,,,,,,,
2023-06-09 09:06:12.999236959,1.2183862836265384,1.2183862836265384,1.2183862836265384,,-0.10477666233844957,0.08833794075478095,-0.09741007695923745,-0.004926899874973606,,-9.480996862436651,11.737668543684318,-21.829546822711695,,,,,,,
2023-06-09 09:06:13.499236959,1.4089770052125066,1.4089770052125066,1.4089770052125066,,0.01039541255564369,0.0609984622271819,-0.03712800810026454,0.00401731162836012,,-10.21620542771184,12.760587537158695,-24.048963284613592,,,,,,,
2023-06-09 09:06:13.999236959,1.3496997287657255,1.3496997287657255,1.3496997287657255,,0.1255024486912884,0.02209167574053765,0.009417786501462355,-0.0060075250954773375,,-10.464027438478213,12.323411170548942,-26.77541298443685,,,,,,,
2023-06-09 09:06:14.499236959,1.030242344020317,1.030242344020317,1.030242344020317,,0.24027529165788192,0.06483628968122714,0.05114061150835546,-0.0055452445284485275,,-9.737320115712407,10.258282006234083,-29.945397474823796,,,,,,,
2023-06-09 09:06:14.999236959,0.5883456475359004,0.5883456475359004,0.5883456475359004,,0.29337488456406363,0.06922226070451935,0.030987904065024136,-0.005237328944864568,,-8.268899299365842,6.211504296882634,-33.60292139221312,,,,,,,
2023-06-09 09:06:15.499236959,0.15976933949364225,0.15976933949364225,0.15976933949364225,,0.22603429449312232,0.06566318181279096,0.0026771392472167838,-0.023924512203002367,,-6.806081538295075,1.913314294581994,-36.54039404529434,,,,,,,
2023-06-09 09:06:15.999236959,-0.17318725261437162,-0.17318725261437162,-0.17318725261437162,,0.18505270736013324,0.05146750690386765,-0.012968081977916884,-0.030428312224560397,,-5.637946706743817,-1.4999971438644453,-38.684052495725,,,,,,,
2023-06-09 09:06:16.499236959,-0.41909270822774236,-0.41909270822774236,-0.41909270822774236,,0.14176844004789094,0.04252151903303112,-0.00937759361786224,-0.017686540148164474,,-4.75502324431694,-4.364009209155328,-40.21275869750816,,,,,,,
2023-06-09 09:06:16.999236959,-0.5963829714699476,-0.5963829714699476,-0.5963829714699476,,0.08982439349237968,0.030318829079621697,-0.013681788265345617,0.0026128440493350044,,-4.137429867025757,-6.417875869641744,-41.34937861692213,,,,,,,
2023-06-09 09:06:17.499236959,-0.7491215059189356,-0.7491215059189356,-0.7491215059189356,,0.0636746737077164,0.017095711001464443,-0.0021757894162635454,-0.01054085774070401,,-3.7168385201227494,-7.691464931592336,-42.187905323488316,,,,,,,
2023-06-09 09:06:17.999236959,-0.8463319722035425,-0.8463319722035425,-0.8463319722035425,,0.04551252264733262,0.015928662960688927,0.004198924759488241,-0.008957525158258517,,-3.475860587816527,-8.547037002937454,-42.77318426348177,,,,,,,
2023-06-09 09:06:18.499236959,-0.9313408047783038,-0.9313408047783038,-0.9313408047783038,,0.03187871184852509,0.012820653557232302,0.009007167890089252,-0.010138408235098876,,-3.275726567801957,-9.140262344336318,-43.2045270064234,,,,,,,
2023-06-09 09:06:18.999236959,-0.9969510307680955,-0.9969510307680955,-0.9969510307680955,,0.02280085914957147,0.010584997348526907,0.00720512130694919,-0.009340424545807321,,-3.110685643717583,-9.545559040428813,-43.515116692867366,,,,,,,
2023-06-09 09:06:19.499236959,-1.0511403268138968,-1.0511403268138968,-1.0511403268138968,,0.016409773668303797,0.007894374092736203,0.005181766320548825,-0.0105109621795485,,-2.9631330799909668,-9.843318928164189,-43.738154411778076,,,,,,,
2023-06-09 09:06:19.999236959,-1.0910746845950876,-1.0910746845950876,-1.0910746845950876,,0.011750529782416906,0.00543062695030066,0.003550604438350744,-0.011481970743298528,,-2.8399057022694474,-10.047710269275983,-43.894719989466594,,,,,,,
