timestamp,acc_X (m/s^2),acc_Y (m/s^2),acc_Z (m/s^2),gyr_X (rad/s),gyr_Y (rad/s),gyr_Z (rad/s),lin_acc_X (m/s^2),lin_acc_Y (m/s^2),lin_acc_Z (m/s^2),mag_X (µT),mag_Y (µT),mag_Z (µT),label
2023-06-09 09:06:09.999236959,-0.9353143018008576,2.035107589527593,5.5293728544502105,-0.5284673840077833,0.027813327115357996,0.09037912834441414,-0.09640671891659656,-0.2867651971296361,0.2726551523670458,-4.1344692800868215,-18.914954285073613,-16.482164800483435,
2023-06-09 09:06:10.499236959,-0.887844275808229,0.8305378287451113,5.542009026292252,-0.6102653880605644,0.1550380708180215,0.08730610886201534,-0.09885520933258116,-0.3486721483441061,0.3231331411578509,-4.0312624460021445,-13.990475933720994,-17.45275212764135,sitting
2023-06-09 09:06:10.999236959,-1.029635434907343,-0.9225570740268588,5.53492936675952,-0.6709616512299019,0.24276112886686715,0.015480792314218115,-0.1495219678683039,-0.33572560478111285,0.4564969315537156,-3.0707805542656823,-6.564469476960473,-18.669174672747392,sitting
2023-06-09 09:06:11.499236959,-0.8894275712759523,-2.488210417660114,4.987011517210738,-0.5528903375324699,0.13901954525659954,-0.1301898039075372,-0.028941915621377205,-0.2578394456114909,0.3133984478337521,-2.3695247425499892,0.4682560020204001,-18.825459585668174,sitting
2023-06-09 09:06:11.999236959,-0.15105501208415628,-3.844144243067382,4.642688296559231,-0.38591092343074457,0.08568904376465786,-0.2514049013424263,-0.021205188361858043,-0.21335951924100788,0.22073078791189565,-4.824210899469295,6.119946393961321,-19.193568800375786,sitting
2023-06-09 09:06:12.499236959,0.7146812796252238,-4.665295672373388,4.498539592519848,-0.2282294611444538,0.08320933336391811,-0.16419092432815813,-0.01414772335872469,-0.14691336712388572,0.16943542385310673,-7.814863664745128,9.662590287618373,-20.181086774980965,sitting
2023-06-09 09:06:12.999236959,1.2183862836265384,-5.096842597108886,4.622554733091271,-0.10477666233844957,0.08833794075478095,-0.09741007695923744,-0.004926899874973606,-0.08483229779254663,0.1317369219311226,-9.480996862436653,11.737668543684318,-21.82954682271169,sitting
2023-06-09 09:06:13.499236959,1.4089770052125066,-5.207137322809278,4.9426231173518245,0.01039541255564369,0.0609984622271819,-0.03712800810026454,0.00401731162836012,-0.04063043444211624,0.09812856179641674,-10.21620542771184,12.760587537158694,-24.048963284613592,sitting
2023-06-09 09:06:13.999236959,1.3496997287657255,-4.9928056745925975,5.4291010866015545,0.1255024486912884,0.02209167574053765,0.009417786501462357,-0.006007525095477338,-0.009793216676377423,0.05150129805875253,-10.464027438478212,12.323411170548944,-26.77541298443685,sitting
2023-06-09 09:06:14.499236959,1.030242344020317,-4.488215748303175,6.089305885089643,0.2402752916578819,0.06483628968122714,0.051140611508355464,-0.005545244528448528,-0.009130159597276366,-0.00579530064963641,-9.737320115712407,10.258282006234085,-29.9453974748238,sitting
2023-06-09 09:06:14.999236959,0.5883456475359004,-3.5580470217600717,7.0198995731722365,0.29337488456406363,0.06922226070451935,0.03098790406502414,-0.005237328944864568,0.03292971535081705,0.011134269720211,-8.268899299365842,6.211504296882634,-33.60292139221312,sitting
2023-06-09 09:06:15.499236959,0.15976933949364225,-2.6397006652726613,7.756791113974012,0.2260342944931223,0.06566318181279096,0.002677139247216784,-0.02392451220300237,0.05049060782583533,0.007703405415765794,-6.806081538295075,1.913314294581994,-36.54039404529434,sitting
2023-06-09 09:06:15.999236959,-0.17318725261437162,-1.9527458227645158,8.308188935421192,0.18505270736013324,0.05146750690386765,-0.012968081977916884,-0.0304283122245604,0.05114035540049913,0.02231802889349717,-5.637946706743818,-1.4999971438644453,-38.684052495725005,sitting
2023-06-09 09:06:16.499236959,-0.4190927082277424,-1.4425317038888434,8.69933399453249,0.14176844004789094,0.04252151903303112,-0.00937759361786224,-0.017686540148164474,-0.004615228520567102,0.020488397009938264,-4.7550232443169405,-4.364009209155328,-40.21275869750816,sitting
2023-06-09 09:06:16.999236959,-0.5963829714699476,-1.0383052289744688,8.978348166321037,0.08982439349237968,0.030318829079621693,-0.013681788265345616,0.0026128440493350053,-0.0130102599517981,0.01335052465842918,-4.137429867025757,-6.417875869641744,-41.34937861692213,sitting
2023-06-09 09:06:17.499236959,-0.7491215059189356,-0.7863117235531509,9.191355972805686,0.0636746737077164,0.017095711001464443,-0.0021757894162635454,-0.01054085774070401,-0.008424130016282906,0.016083187175957015,-3.716838520122749,-7.691464931592336,-42.18790532348832,sitting
2023-06-09 09:06:17.999236959,-0.8463319722035425,-0.6045870741316189,9.34412570050816,0.04551252264733262,0.015928662960688927,0.00419892475948824,-0.008957525158258517,-0.002122511708297969,0.014572780598645257,-3.475860587816527,-8.547037002937454,-42.773184263481774,sitting
2023-06-09 09:06:18.499236959,-0.9313408047783038,-0.4723612233709688,9.45507678151745,0.03187871184852509,0.012820653557232302,0.009007167890089252,-0.010138408235098876,0.003256202490115175,0.014204602932454026,-3.275726567801957,-9.140262344336318,-43.2045270064234,sitting
2023-06-09 09:06:18.999236959,-0.9969510307680955,-0.3786284761490996,9.535064821984484,0.02280085914957147,0.010584997348526907,0.007205121306949191,-0.009340424545807321,0.006056925254915775,0.013614533660383793,-3.110685643717583,-9.545559040428813,-43.515116692867366,sitting
2023-06-09 09:06:19.499236959,-1.0511403268138968,-0.3123135969888122,9.593106209889966,0.016409773668303797,0.007894374092736203,0.005181766320548825,-0.0105109621795485,0.007587553124356955,0.013421258149345541,-2.9631330799909668,-9.843318928164187,-43.738154411778076,sitting
